LConfiguration,LTerm,LTerm (atlas),LJ,LLevel,UConfiguration,UTerm,UTerm (atlas),UJ,ULevel,Wavelength,log gf (DREAM),gf (DREAM),gf (atlas),A DREAM,A atlas,CF,Disagreement
4f13.(2F*).6s2,2F*,2F2.5 1S2.5,2.5,31568.08,4f13.(2F*<7/2>).5d.6p.(3F*<3>),"(7/2,3)",2F3.5 3F3.0,3.5,65093.14,2981.973,-2.60,0.003,0.011,0.24,0.632,0.010,-0.423
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<7/2>).5d.6p.(3F*<3>),"(7/2,3)",,1.5,60586.46,2982.010,-3.05,0.001,,0.17,,0.011,
4f13.(2F*<5/2>).5d.6s.(3D),*,2F3.5 1D1.5,1.5,44940.61,4f13.(2F*<5/2>).5d.6p.(1F*<3>),,2F2.5 1F3.0,1.5,78464.76,2982.054,-0.46,0.347,0.107,65.25,8.202,0.164,0.901
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,4.5,33052.29,4f13.(2F*<7/2>).5d.6p.(3D*<3>),"(7/2,3)",2F3.5 3D3.0,5.5,66571.58,2982.486,-0.82,0.151,0.080,9.50,5.109,0.451,0.269
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,2F3.5 3D2.5,2.5,32371.10,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,1.5,65888.46,2982.658,-0.77,0.170,0.193,31.75,22.184,0.240,0.156
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,,0.5,43007.79,4f14.7d,2D,,1.5,76517.21,2983.365,-1.03,0.093,,17.68,,0.477,
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,4.5,33052.29,4f13.(2F*<7/2>).5d.6p.(3D*<2>),"(7/2,2)",2F3.5 3D2.0,3.5,66558.00,2983.695,-0.32,0.479,0.557,45.50,53.315,0.568,-0.069
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,2F3.5 3D5.5,4.5,30224.33,4f13.(2F*<7/2>).5d.6p.(3D*<1>),"(7/2,1)",2F3.5 3D1.0,4.5,63726.83,2983.981,0.34,2.188,2.396,164.00,183.436,0.632,-0.049
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D3.5,2.5,43956.41,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F2.5 3D3.0,3.5,77449.32,2984.836,0.02,1.047,0.388,98.63,22.266,0.569,0.646
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,3.5,35059.00,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,4.5,68549.23,2985.075,0.32,2.089,2.258,154.00,138.195,0.836,0.047
4f13.(2F*<7/2>).5d2.(3F),3[1/2]*,,1.5,48024.70,4f13.(2F*<5/2>).5d.6p.(3P*<1>),"(5/2,1)",,1.5,81512.62,2985.280,-3.70,0.000,,0.04,,0.000,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,2F3.5 3D2.5,1.5,32981.59,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,0.5,66462.86,2985.873,-0.53,0.295,0.390,111.00,59.641,0.519,0.270
4f14.5d,2D,,2.5,24332.69,4f13.(2F*<7/2>).5d2.(3P),3[5/2]*,,2.5,57798.51,2987.252,-3.01,0.001,,0.12,,0.010,
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,2F2.5 3D3.5,4.5,46169.78,4f13.(2F*<7/2>).5d.6p.(1P*<1>),"(7/2,1)",2F3.5 1P1.0,3.5,79628.71,2987.867,-0.59,0.257,0.341,24.25,32.549,0.090,-0.128
4f13.(2F*<7/2>).5d2.(3F),3[5/2]*,,2.5,45012.79,4f13.(2F*<5/2>).5d.6p.(1F*<3>),,,1.5,78464.76,2988.489,-3.41,0.000,,0.07,,0.001,
4f13.(2F*<7/2>).5d2.(3F),*,,3.5,47758.54,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,4.5,81205.27,2988.957,-3.02,0.001,,0.07,,0.001,
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D2.5,3.5,44438.03,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",2F2.5 3F4.0,3.5,77882.04,2989.200,-0.53,0.295,0.323,27.88,24.642,0.133,0.054
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,,1.5,43075.09,4f14.7d,2D,,1.5,76517.21,2989.369,-1.33,0.047,,8.83,,0.141,
4f13.(2F*<7/2>).5d.6s.(1D),1[7/2]*,2F3.5 1D3.5,3.5,37516.59,4f13.(2F*<7/2>).5d.6p.(3P*<1>),,2F3.5 3P1.0,2.5,70954.27,2989.766,-1.40,0.040,0.024,4.90,2.44,0.018,0.303
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,2F2.5 3D3.5,4.5,46169.78,4f13.(2F*<5/2>).5d.6p.(3P*<1>),,2F2.5 3D1.0,5.5,79605.95,2989.901,,,2.302,,146.285,,
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,2F3.5 3D4.5,4.5,35019.13,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,3.5,68450.11,2990.365,-0.30,0.501,0.082,46.63,7.814,0.291,0.776
4f13.(2F*<7/2>).5d2.(3F),*,2F3.5 3F1.5,2.5,48272.77,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,3.5,81692.92,2991.334,-1.42,0.038,0.054,3.53,3.085,0.029,0.058
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,2F3.5 3D1.5,1.5,28757.98,4f14.6d,2D,2D,1.5,62174.10,2991.695,-1.66,0.022,0.023,4.05,1.752,0.268,0.364
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,2F3.5 3D2.5,1.5,32981.59,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3D3.0,2.5,66395.72,2991.873,0.02,1.047,0.524,127.33,26.604,0.755,0.680
4f13.(2F*<7/2>).5d2.(3F),3[9/2]*,,5.5,50468.05,,,,4.5,83871.00,2992.874,-3.99,0.000,,0.01,,0.000,
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,3.5,35059.00,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,3.5,68450.11,2993.936,-0.29,0.513,0.332,47.25,25.249,0.252,0.272
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,2F2.5 3D3.5,3.5,45429.82,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F2.5 3P1.0,2.5,78814.86,2994.480,-0.48,0.331,0.453,41.00,45.918,0.141,-0.049
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,2F2.5 3D2.5,2.5,44497.51,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",2F2.5 3F4.0,3.5,77882.04,2994.526,-0.41,0.389,1.302,36.50,74.235,0.510,-0.308
4f13.(2F*<7/2>).5d2.(3F),*,,2.5,48272.77,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,81657.13,2994.541,-1.36,0.044,,5.48,,0.023,
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,2F3.5 3D5.5,5.5,30562.79,4f13.(2F*<7/2>).5d.6p.(3D*<2>),"(7/2,2)",2F3.5 3D2.0,5.5,63944.18,2994.808,0.21,1.622,2.138,100.83,162.502,0.426,-0.207
4f13.(2F*<7/2>).5d.6s.(1D),1[3/2]*,2F2.5 3D0.5,1.5,34575.37,4f13.(2F*<7/2>).5d.6p.(3D*<3>),"(7/2,3)",2F3.5 3D3.0,0.5,67955.23,2994.945,-0.95,0.112,0.120,42.35,18.24,0.179,0.366
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,2F2.5 3D1.5,2.5,41678.73,4f13.(2F*<5/2>).5d.6p.(3D*<1>),"(5/2,1)",2F2.5 3D1.0,2.5,75058.11,2994.988,-1.45,0.035,0.036,4.33,2.736,0.086,0.200
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,2F3.5 3D1.5,1.5,28757.98,4f13.(2F*<5/2>).6s.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,0.5,62136.94,2995.026,-1.46,0.035,0.038,13.00,5.776,0.150,0.352
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,2F2.5 3D1.5,1.5,41688.45,4f13.(2F*<5/2>).5d.6p.(3D*<1>),"(5/2,1)",2F2.5 3D1.0,2.5,75058.11,2995.861,-0.76,0.174,0.257,21.33,13.013,0.535,0.215
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,2F3.5 3D2.5,1.5,32981.59,4f13.(2F*<7/2>).5d.6p.(3D*<2>),"(7/2,2)",2F3.5 3D2.0,2.5,66351.21,2995.864,-0.89,0.129,0.725,15.73,36.711,0.214,-0.368
4f13.(2F*<7/2>).5d.6s.(1D),1[11/2]*,2F3.5 1D5.5,5.5,34784.95,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,5.5,68148.88,2996.375,-1.69,0.020,0.056,1.28,4.252,0.057,-0.523
4f13.(2F*<7/2>).5d.6s.(1D),1[7/2]*,2F3.5 1D3.5,3.5,37516.59,4f13.(2F*<7/2>).5d.6p.(3P*<2>),"(7/2,2)",2F3.5 3P2.0,4.5,70858.18,2998.383,-0.73,0.186,0.183,13.60,11.101,0.241,0.088
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,,2.5,43956.41,4f13.(2F*<5/2>).5d.6p.(3D*<1>),"(5/2,1)",,1.5,77284.02,2999.641,-1.13,0.074,,13.98,,0.192,
4f13.(2F*<5/2>).5d.6s.(3D),3[9/2]*,2F2.5 3D4.5,5.5,42915.13,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",2F2.5 3F4.0,6.5,76233.60,3000.464,0.76,5.754,6.636,306.43,430.698,0.973,-0.148
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,2F2.5 3D1.5,2.5,41678.73,4f13.(2F*<5/2>).5d.6p.(3D*<2>),,2F2.5 3D2.0,1.5,74991.36,3000.990,-0.97,0.107,0.053,19.65,6.018,0.115,0.514
4f14.6p,2P*,,1.5,30392.23,4f13.(2F*<5/2>).6s.6p.(3P*<2>),"(5/2,2)",,2.5,63702.32,3001.218,-2.42,0.004,,0.47,,0.029,
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D2.5,3.5,44438.03,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F3.5 1P1.0,4.5,77747.40,3001.283,-0.35,0.447,0.038,33.60,2.301,0.412,1.164
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,2F2.5 3D1.5,1.5,41688.45,4f13.(2F*<5/2>).5d.6p.(3D*<2>),,2F2.5 3D2.0,1.5,74991.36,3001.866,-1.02,0.095,0.204,17.63,15.433,0.123,0.058
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,2F2.5 3D1.5,1.5,41688.45,4f13.(2F*<5/2>).5d.6p.(1D*<2>),,2F2.5 1D2.0,0.5,74989.49,3002.034,-0.41,0.389,0.386,144.50,58.395,0.543,0.393
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,2F2.5 3D1.5,2.5,41678.73,4f13.(2F*<5/2>).5d.6p.(3F*<3>),,2F2.5 1D2.0,3.5,74973.41,3002.608,0.30,1.995,2.440,185.00,138.371,0.809,0.126
4f13.(2F*<7/2>).5d2.(3F),3[1/2]*,,1.5,48024.70,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,2.5,81312.65,3003.215,-1.91,0.012,,1.53,,0.016,
4f13.(2F*<7/2>).5d2.(3F),3[7/2]*,,4.5,46354.55,4f13.(2F*<7/2>).5d.6p.(1P*<1>),"(7/2,1)",,3.5,79628.71,3004.459,-2.90,0.001,,0.12,,0.003,
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,2F3.5 3D5.5,6.5,31631.59,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,7.5,64891.30,3005.765,0.82,6.607,7.594,300.63,501.371,0.993,-0.222
4f14.6p,2P*,2P,1.5,30392.23,4f13.(2F*<7/2>).5d.6p.(1D*<2>),,2F3.5 1D2.0,1.5,63647.73,3006.145,-1.25,0.056,0.094,10.28,7.091,0.110,0.161
4f13.(2F*<5/2>).5d.6s.(3D),3[9/2]*,2F2.5 3D4.5,3.5,40035.82,4f13.(2F*<7/2>).5d.6p.(1F*<3>),"(7/2,3)",2F3.5 1F3.0,4.5,73283.35,3006.866,-0.37,0.427,0.650,31.00,39.207,0.750,-0.102
4f13.(2F*<7/2>).5d2.(3F),*,2F3.5 3F1.5,2.5,48272.77,4f13.(2F*<5/2>).5d.6p.(3P*<1>),"(5/2,1)",2F2.5 3P2.0,1.5,81512.62,3007.561,-1.81,0.015,0.066,2.85,7.461,0.017,-0.418
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,3.5,31979.90,4f13.(2F*<7/2>).5d.6p.(3F*<2>),,,4.5,65199.54,3009.390,0.08,1.202,,88.80,,0.869,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,2F3.5 3D2.5,2.5,32371.10,4f13.(2F*<7/2>).5d.6p.(1D*<2>),,2F3.5 1D2.0,3.5,65577.11,3010.626,-0.15,0.708,0.775,65.88,43.716,0.309,0.178
4f14.5d,2D,,2.5,24332.69,4f13.(2F*<5/2>).5d2.(3F),3[9/2]*,,3.5,57534.45,3011.011,-3.56,0.000,,0.03,,0.034,
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D2.5,3.5,44438.03,4f13.(2F*<5/2>).5d.6p.(3F*<4>),,2F2.5 3F4.0,2.5,77606.58,3014.026,-1.12,0.076,0.215,9.15,21.512,0.046,-0.371
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,2F3.5 3D5.5,5.5,30562.79,4f13.(2F*<7/2>).5d.6p.(3D*<1>),"(7/2,1)",2F3.5 3D1.0,4.5,63726.83,3014.436,-0.24,0.575,0.647,42.10,58.246,0.484,-0.141
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,,4.5,46169.78,,,,5.5,79333.00,3014.541,0.12,1.318,,79.92,,0.280,
4f13.(2F*<5/2>).5d.6s.(1D),1[7/2]*,2F2.5 1D3.5,3.5,48556.57,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,3.5,81692.92,3016.955,-0.97,0.107,0.122,9.85,9.137,0.126,0.033
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,2T3.5 3D4.5,4.5,35019.13,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,5.5,68148.88,3017.556,0.53,3.388,4.244,206.67,264.773,0.939,-0.108
4f13.(2F*<5/2>).5d.6s.(1D),1[5/2]*,2F2.5 1D2.5,2.5,47329.44,4f13.(2F*<5/2>).5d.6p.(3P*<1>),,2F2.5 3P1.0,3.5,80457.71,3017.691,-1.72,0.019,0.023,1.75,1.291,0.016,0.132
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,3.5,31979.90,4f13.(2F*<7/2>).5d.6p.(3F*<3>),"(7/2,3)",,3.5,65093.14,3019.061,-1.21,0.062,,5.73,,0.069,
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,2F3.5 3D4.5,5.5,35831.68,4f13.(2F*<5/2>).5d.6p.(3F*<2>),"(5/2,2)",2F2.5 3F2.0,4.5,68943.65,3019.176,-2.09,0.008,0.030,0.60,2.692,0.066,-0.656
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,2F2.5 3D2.5,2.5,44497.51,4f13.(2F*<5/2>).5d.6p.(3F*<4>),,2F2.5 3F4.0,2.5,77606.58,3019.441,-0.63,0.234,0.602,28.33,45.013,0.253,-0.201
4f13.(2F*<5/2>).5d.6s.(1D),1[7/2]*,,3.5,48556.57,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,81657.13,3020.217,-0.80,0.158,,19.50,,0.215,
4f14.5d,2D,,1.5,22960.80,4f13.(2F*<7/2>).5d2.(3P),*,,2.5,56056.91,3020.623,-3.35,0.000,,0.05,,0.006,
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D2.5,1.5,43075.09,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",2F2.5 3D2.0,2.5,76170.25,3020.710,0.02,1.047,0.905,129.00,45.074,0.609,0.457
4f13.(2F*<7/2>).5d2.(3F),*,,1.5,45737.29,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",,2.5,78814.86,3022.316,-2.46,0.003,,0.43,,0.003,
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,3.5,35059.00,4f13.(2F*<7/2>).5d.6p.(3F*<4>),,2F3.5 3F4.0,2.5,68135.00,3022.460,-0.44,0.363,0.479,44.67,47.659,0.261,-0.028
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,2F3.5 3D4.5,3.5,33494.68,4f13.(2F*<7/2>).5d.6p.(3D*<2>),"(7/2,2)",2F3.5 3D2.0,3.5,66558.00,3023.619,-1.04,0.091,0.139,8.39,10.365,0.136,-0.092
4f13.(2F*<5/2>).5d.6s.(3D),3[9/2]*,2F2.5 3D4.5,4.5,40917.91,4f13.(2F*<5/2>).5d.6p.(3D*<1>),"(5/2,1)",2F2.5 3D1.0,3.5,73966.81,3024.938,-1.03,0.093,0.102,8.50,9.499,0.131,-0.048
4f13.(2F*<7/2>).5d2.(3F),*,,2.5,48272.77,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,2.5,81312.65,3025.764,-1.72,0.019,,2.32,,0.007,
4f13.(2F*).6s2,2F*,,2.5,31568.08,4f13.(2F*<7/2>).5d.6p.(3D*<1>),"(7/2,1)",,3.5,64598.28,3026.651,-3.13,0.001,,0.07,,0.003,
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,4.5,33052.29,4f13.(2F*<7/2>).5d.6p.(3F*<3>),"(7/2,3)",2F3.5 3F3.0,5.5,66082.25,3026.673,0.48,3.020,3.926,184.17,243.46,0.803,-0.121
4f13.(2F*<7/2>).5d2.(3F),3[11/2]*,,4.5,47663.52,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,5.5,80679.18,3027.984,-2.89,0.001,,0.08,,0.002,
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D2.5,3.5,44438.03,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F2.5 3D3.0,3.5,77449.32,3028.385,-0.78,0.166,0.332,15.38,24.678,0.139,-0.205
4f13.(2F*<7/2>).5d2.(3F),3[13/2]*,,6.5,47680.40,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,5.5,80679.18,3029.533,-2.98,0.001,,0.06,,0.001,
4f14.6s,2S,2S,0.5,0.00,4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,2F3.5 3D2.5,1.5,32981.59,3031.112,-1.47,0.034,0.039,6.23,1.447,0.645,0.634
4f13.(2F*<7/2>).5d2.(3F),3[1/2]*,,0.5,49419.13,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,1.5,82398.98,3031.272,-3.02,0.001,,0.17,,0.002,
4f13.(2F*<7/2>).5d2.(3F),3[7/2]*,,4.5,46354.55,,,,5.5,79333.00,3031.432,-2.37,0.004,,0.26,,0.008,
4f13.(2F*<7/2>).5d2.(3F),3[3/2]*,,0.5,46902.71,,,,0.5,79860.00,3033.305,-1.49,0.032,,11.90,,0.069,
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,,4.5,46169.78,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",,4.5,79126.83,3033.369,-3.88,0.000,,0.01,,0.000,
4f13.(2F*<5/2>).5d.6s.(3D),3[7/2]*,2F2.5 3D2.5,2.5,44497.51,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F2.5 3D3.0,3.5,77449.32,3033.852,-0.34,0.457,0.882,42.13,48.993,0.550,-0.066
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,2F3.5 3D1.5,2.5,26759.02,4f13.(2F*<5/2>).6s.6p.(3P*<1>),"(5/2,1)",2F2.5 3P1.0,1.5,59710.65,3033.868,-1.91,0.012,0.020,2.21,2.222,0.085,-0.003
4f13.(2F*<5/2>).5d.6s.(3D),*,2F3.5 1D1.5,1.5,44940.61,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F2.5 3D3.0,0.5,77887.30,3034.323,-1.74,0.018,0.039,6.50,5.775,0.019,0.051
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,3.5,31979.90,4f13.(2F*<7/2>).5d.6p.(3F*<3>),"(7/2,3)",,4.5,64923.11,3034.644,-0.09,0.813,,58.50,,0.383,
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,2F3.5 3D5.5,4.5,30224.33,4f13.(2F*<5/2>).6s.6p.(3P*<2>),"(5/2,2)",2F2.5 3P2.0,4.5,63163.79,3034.989,-2.05,0.009,0.064,0.65,4.736,0.020,-0.866
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,2F3.5 3D4.5,4.5,35019.13,4f13.(2F*<5/2>).6s.6p.(1P*<1>),,2F2.5 1P1.0,3.5,67938.68,3036.825,-0.98,0.105,0.202,9.46,18.664,0.065,-0.295
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,2F3.5 3D2.5,1.5,32981.59,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,1.5,65888.46,3037.995,-0.73,0.186,0.226,33.00,16.693,0.221,0.296
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,,3.5,33494.68,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",,2.5,66395.72,3038.533,-0.49,0.324,,39.17,,0.492,
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,4.5,33052.29,4f13.(2F*<7/2>).5d.6p.(3D*<2>),"(7/2,2)",2F3.5 3D2.0,4.5,65950.95,3038.753,-1.61,0.025,0.026,1.80,1.919,0.029,-0.028
4f13.(2F*<5/2>).5d.6s.(3D),3[3/2]*,,0.5,43007.79,4f13.(2F*<5/2>).5d.6p.(3F*<2>),"(5/2,2)",,0.5,75905.77,3038.816,-1.86,0.014,,5.10,,0.162,
4f13.(2F*).6s2,2F*,,2.5,31568.08,4f13.(2F*<7/2>).5d.6p.(3D*<2>),"(7/2,2)",,1.5,64461.08,3039.276,-3.04,0.001,,0.17,,0.010,
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,2F3.5 3D4.5,5.5,35831.68,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,6.5,68720.44,3039.668,-0.03,0.933,1.325,46.71,83.793,0.242,-0.254
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D3.5,2.5,43956.41,4f13.(2F*<5/2>).5d.6p.(3D*<1>),,2D,2.5,76839.00,3040.238,-1.18,0.066,0.048,8.00,3.54,0.197,0.354
4f13.(2F*<7/2>).5d.6s.(1D),1[9/2]*,2F3.5 1D4.5,4.5,38342.02,4f13.(2F*<7/2>).5d.6p.(3P*<2>),"(7/2,2)",2F3.5 3P2.0,3.5,71222.36,3040.446,-1.14,0.072,0.070,6.51,6.452,0.038,0.004
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,3.5,35059.00,4f13.(2F*<5/2>).6s.6p.(1P*<1>),,2F2.5 1P1.0,3.5,67938.68,3040.507,-1.16,0.069,0.114,6.21,8.406,0.044,-0.131
4f13.(2F*<7/2>).5d2.(1D),1[3/2]*,,1.5,55221.46,,,,1.5,88101.00,3040.525,-3.99,0.000,,0.02,,0.000,
4f13.(2F*<5/2>).5d2.(3F),*,,1.5,56840.04,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,3041.113,-3.92,0.000,,0.01,,0.000,
4f13.(2F*<7/2>).5d2.(3F),3[5/2]*,,2.5,45012.79,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",,3.5,77882.04,3041.472,-3.23,0.001,,0.05,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,2F3.5 3D4.5,3.5,33494.68,4f13.(2F*<7/2>).5d.6p.(3D*<2>),"(7/2,2)",2F3.5 3D2.0,2.5,66351.21,3042.650,-0.16,0.692,1.099,83.00,107.9,0.643,-0.114
4f13.(2F*<5/2>).5d.6s.(1D),1[3/2]*,,1.5,47005.46,,,,0.5,79860.00,3042.791,-1.25,0.056,,20.70,,0.142,
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,2F2.5 3D3.5,2.5,43956.41,4f13.(2F*<5/2>).5d.6p.(3D*<3>),,2F2.5 3D3.0,1.5,76799.07,3043.935,-1.31,0.049,0.147,8.73,16.223,0.034,-0.269
4f14.6p,2P*,2P,1.5,30392.23,4f13.(2F*<7/2>).5d.6p.(3D*<1>),"(7/2,1)",2F3.5 3D1.0,2.5,63234.11,3044.007,-0.72,0.191,0.275,22.83,13.488,0.245,0.229
4f13.(2F*<7/2>).5d2.(3P),3[9/2]*,,3.5,55462.68,,,,3.5,88297.00,3044.745,-2.73,0.002,,0.17,,0.001,
4f13.(2F*<5/2>).5d.6s.(3D),3[9/2]*,2F2.5 3D4.5,4.5,40917.91,4f13.(2F*<5/2>).5d.6p.(1D*<2>),,2F2.5 1D2.0,4.5,73750.90,3044.831,-0.29,0.513,0.695,36.60,51.103,0.240,-0.145
4f13.(2F*<5/2>).5d.6s.(3D),3[5/2]*,,1.5,43075.09,4f13.(2F*<5/2>).5d.6p.(3F*<2>),"(5/2,2)",,0.5,75905.77,3045.045,-1.13,0.074,,26.80,,0.380,
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,2F3.5 3D3.5,2.5,34389.76,4f13.(2F*<7/2>).5d.6p.(3D*<3>),"(7/2,3)",2F3.5 3D3.0,1.5,67204.97,3046.481,-0.16,0.692,0.816,124.75,89.903,0.563,0.142
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,2F3.5 3D1.5,0.5,33653.86,4f13.(2F*<7/2>).5d.6p.(3F*<4>),"(7/2,4)",2F3.5 3F4.0,0.5,66462.86,3047.058,-0.40,0.398,0.477,146.50,35.023,0.725,0.621
4f13.(2F*<7/2>).5d2.(3F),*,,3.5,45273.02,4f13.(2F*<7/2>).5d.6p.(1P*<1>),"(7/2,1)",,4.5,78070.19,3048.157,-2.32,0.005,,0.34,,0.004,
4f13.(2F*<7/2>).5d2.(3F),3[11/2]*,,4.5,47663.52,4f13.(2F*<5/2>).5d.6p.(3P*<1>),,,3.5,80457.71,3048.434,-3.81,0.000,,0.01,,0.000,
