LConfiguration,LTerm,LTerm (atlas),LJ,LLevel,UConfiguration,UTerm,UTerm (atlas),UJ,ULevel,Wavelength,log gf (DREAM),gf (DREAM),gf (atlas),A DREAM,A atlas,CF,Disagreement
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<7/2>).5d.6p.(1P*<1>),"(7/2,1)",2F2.5 3D3.0,4.5,78070.19,1765.180,0.20,1.585,0.395,340.00,69.176,0.301,0.692
4f13.(2F*).6s2,2F*,,2.5,31568.08,,,,1.5,88101.00,1768.882,-0.06,0.871,,457.50,,0.270,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",2F2.5 3F4.0,3.5,77882.04,1771.062,-1.32,0.048,0.074,12.63,16.092,0.148,-0.105
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F3.5 1P1.0,4.5,77747.40,1775.296,-0.43,0.372,3.141,79.70,543.826,0.268,-0.834
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,,3.5,33494.68,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,1778.774,-3.66,0.000,,0.08,,0.000,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<4>),,2F2.5 3F4.0,2.5,77606.58,1779.745,-0.34,0.457,0.575,159.83,165.095,0.287,-0.014
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",2F2.5 3D3.0,3.5,77449.32,1784.740,-1.79,0.016,0.057,4.25,12.206,0.095,-0.458
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,2.5,32371.10,,,,3.5,88297.00,1788.093,-1.90,0.013,,3.29,,0.031,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,2.5,32371.10,,,,1.5,88101.00,1794.371,-2.10,0.008,,4.05,,0.007,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3D*<1>),,2D,2.5,76839.00,1804.395,-0.99,0.102,0.497,35.33,138.827,0.264,-0.594
4f14.6p,2P*,2P,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",2F2.5 3P1.0,1.5,82398.98,1807.104,-2.30,0.005,0.107,2.55,11.175,0.007,-0.642
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,,2.5,34389.76,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,1807.553,-3.32,0.000,,0.17,,0.000,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f14.7d,2D,2F3.5 1P1.0,2.5,76676.31,1809.707,-0.58,0.263,0.726,88.83,201.605,0.208,-0.356
