4f14.6s 2S1/2,12642812124.2 hertz,0.0 hertz,0.0 hertz
4f13.(2F*).6s2 2F*7/2,905000000.0 hertz,0.0 hertz,0.0 hertz
4f13.(2F*).6s2 2F*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f14.5d 2D3/2,4004800000.0000005 hertz,0.0 hertz,0.0 hertz
4f14.5d 2D5/2,-1258000000.0 hertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[3/2]*5/2,199000000.0 hertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[3/2]*3/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[3/2]*1/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f14.6p 2P*1/2,2104900000.0000002 hertz,0.0 hertz,0.0 hertz
4f14.6p 2P*3/2,875400000.0 hertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[11/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[11/2]*11/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[11/2]*13/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[5/2]*7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[5/2]*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[5/2]*3/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[7/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[7/2]*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[7/2]*7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[9/2]*7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[9/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[9/2]*11/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(1D) 1[3/2]*3/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(1D) 1[11/2]*11/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(1D) 1[5/2]*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(1D) 1[7/2]*7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d.6s.(1D) 1[9/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
